year,pct,sex,race,stopped,arrested,frisked,searched,summoned,contrabn,weapnfnd,pf_weapn,pf_hcuff,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furtv,rf_bulge
2003,10.0,F,P,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003,10.0,F,Q,27.0,1.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
2003,10.0,F,W,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2003,10.0,M,A,29.0,2.0,21.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,6.0,1.0,0.0,1.0,12.0,0.0,3.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,7.0,3.0
2003,10.0,M,B,618.0,80.0,331.0,85.0,8.0,27.0,12.0,22.0,43.0,19.0,191.0,123.0,47.0,24.0,67.0,86.0,56.0,38.0,75.0,98.0,41.0,30.0,91.0,4.0,13.0,128.0,51.0
2003,10.0,M,I,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,10.0,M,P,71.0,9.0,34.0,12.0,1.0,5.0,2.0,3.0,8.0,2.0,20.0,17.0,8.0,5.0,10.0,14.0,9.0,7.0,8.0,9.0,6.0,6.0,6.0,2.0,2.0,18.0,8.0
2003,10.0,M,Q,323.0,32.0,155.0,43.0,11.0,17.0,5.0,7.0,18.0,11.0,59.0,64.0,30.0,5.0,36.0,42.0,32.0,22.0,42.0,45.0,13.0,15.0,44.0,6.0,5.0,61.0,20.0
2003,10.0,M,W,184.0,23.0,102.0,29.0,11.0,12.0,2.0,7.0,16.0,9.0,34.0,40.0,16.0,1.0,28.0,41.0,13.0,9.0,18.0,29.0,5.0,5.0,34.0,8.0,4.0,44.0,13.0
2003,13.0,F,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
